Track,Track Version,Matcher,Type,Macro Precision (P),Macro Recall (R),Residual Macro Recall (R+),Macro F1,Micro Precision (P),Micro Recall (R),Residual Micro Recall (R+),Micro F1,"# of TP","# of Residual TP","# of FP","# of FN","# of Correspondences",Total Runtime,Total Runtime (HH:MM:SS)
dh,2024all,logmap-bio-melt-oaei-2021-web-latest.tar.gz,INSTANCES,0.5267857142857143,0.47414295914765253,0.47414295914765253,0.44535692429656043,0.6460176991150443,0.43452380952380953,0.43452380952380953,0.5195729537366548,73,73,40,95,113,-,-
dh,2024all,logmap-melt-oaei-2021-web-latest.tar.gz,ALL,0.38616095727756655,0.822439307146754,0.822439307146754,0.4765895622302945,0.38263665594855306,0.7083333333333334,0.7083333333333334,0.49686847599164924,119,119,192,49,311,14802060551,00:00:14
dh,2024all,logmap-melt-oaei-2021-web-latest.tar.gz,CLASSES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-
dh,2024all,logmap-melt-oaei-2021-web-latest.tar.gz,PROPERTIES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-
dh,2024all,logmap-melt-oaei-2021-web-latest.tar.gz,INSTANCES,0.38616095727756655,0.8224393071467541,0.822439307146754,0.47658956223029453,0.38263665594855306,0.7083333333333334,0.7083333333333334,0.49686847599164924,119,119,192,49,311,-,-
dh,2024all,logmap-lite-melt-oaei-2021-web-latest.tar.gz,ALL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,168,18,1492466941027,00:24:52
dh,2024all,logmap-lite-melt-oaei-2021-web-latest.tar.gz,CLASSES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,0,18,-,-
dh,2024all,logmap-lite-melt-oaei-2021-web-latest.tar.gz,PROPERTIES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-
dh,2024all,logmap-lite-melt-oaei-2021-web-latest.tar.gz,INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,168,0,-,-
dh,2024all,lsmatch-2.0-web-latest.tar.gz,ALL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,168,8,17902272210,00:00:17
dh,2024all,lsmatch-2.0-web-latest.tar.gz,CLASSES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,8,-,-
dh,2024all,lsmatch-2.0-web-latest.tar.gz,PROPERTIES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-
dh,2024all,lsmatch-2.0-web-latest.tar.gz,INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,168,0,-,-
dh,2024all,logmap-kg-melt-oaei-2021-web-latest.tar.gz,ALL,0.6800751879699248,0.6449762924809859,0.644976292480986,0.6063863360612664,0.6818181818181818,0.5357142857142857,0.5357142857142857,0.6,90,90,42,78,132,13040794579,00:00:13
dh,2024all,logmap-kg-melt-oaei-2021-web-latest.tar.gz,CLASSES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-
dh,2024all,logmap-kg-melt-oaei-2021-web-latest.tar.gz,PROPERTIES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-
dh,2024all,logmap-kg-melt-oaei-2021-web-latest.tar.gz,INSTANCES,0.6800751879699248,0.6449762924809859,0.644976292480986,0.6063863360612662,0.6818181818181818,0.5357142857142857,0.5357142857142857,0.6,90,90,42,78,132,-,-
